Год,variable,value,month
2023,Янв,11.76,1
2022,Янв,8.74,1
2021,Янв,5.19,1
2020,Янв,2.42,1
2019,Янв,5.0,1
2018,Янв,2.21,1
2017,Янв,5.02,1
2016,Янв,9.77,1
2015,Янв,14.97,1
2014,Янв,6.05,1
2013,Янв,7.07,1
2012,Янв,4.16,1
2011,Янв,9.56,1
2010,Янв,8.02,1
2009,Янв,13.35,1
2008,Янв,12.56,1
2007,Янв,8.2,1
2006,Янв,10.71,1
2005,Янв,12.7,1
2004,Янв,11.28,1
2003,Янв,14.29,1
2002,Янв,18.96,1
2001,Янв,20.71,1
2000,Янв,28.93,1
1999,Янв,96.92,1
1998,Янв,10.13,1
1997,Янв,19.74,1
1996,Янв,104.5,1
1995,Янв,214.68,1
1994,Янв,780.85,1
1993,Янв,850.46,1
1992,Янв,746.67,1
1991,Янв,,1
2023,Фев,10.97,2
2022,Фев,9.16,2
2021,Фев,5.67,2
2020,Фев,2.31,2
2019,Фев,5.24,2
2018,Фев,2.2,2
2017,Фев,4.59,2
2016,Фев,8.06,2
2015,Фев,16.71,2
2014,Фев,6.2,2
2013,Фев,7.28,2
2012,Фев,3.74,2
2011,Фев,9.47,2
2010,Фев,7.18,2
2009,Фев,13.85,2
2008,Фев,12.66,2
2007,Фев,7.61,2
2006,Фев,11.18,2
2005,Фев,12.96,2
2004,Фев,10.58,2
2003,Фев,14.82,2
2002,Фев,17.66,2
2001,Фев,22.19,2
2000,Фев,25.11,2
1999,Фев,103.24,2
1998,Фев,9.43,2
1997,Фев,18.28,2
1996,Фев,89.34,2
1995,Фев,215.24,2
1994,Фев,682.8,2
1993,Фев,758.85,2
1992,Фев,1014.89,2
1991,Фев,,2
2023,Мар,3.51,3
2022,Мар,16.7,3
2021,Мар,5.78,3
2020,Мар,2.55,3
2019,Мар,5.27,3
2018,Мар,2.36,3
2017,Мар,4.25,3
2016,Мар,7.26,3
2015,Мар,16.93,3
2014,Мар,6.92,3
2013,Мар,7.02,3
2012,Мар,3.7,3
2011,Мар,9.46,3
2010,Мар,6.46,3
2009,Мар,13.98,3
2008,Мар,13.35,3
2007,Мар,7.37,3
2006,Мар,10.61,3
2005,Мар,13.63,3
2004,Мар,10.25,3
2003,Мар,14.78,3
2002,Мар,16.76,3
2001,Мар,23.67,3
2000,Мар,22.49,3
1999,Мар,107.58,3
1998,Мар,8.57,3
1997,Мар,16.71,3
1996,Мар,78.66,3
1995,Мар,219.73,3
1994,Мар,600.09,3
1993,Мар,694.06,3
1992,Мар,1262.41,3
1991,Мар,,3
2023,Апр,2.3,4
2022,Апр,17.83,4
2021,Апр,5.52,4
2020,Апр,3.1,4
2019,Апр,5.17,4
2018,Апр,2.41,4
2017,Апр,4.13,4
2016,Апр,7.24,4
2015,Апр,16.42,4
2014,Апр,7.33,4
2013,Апр,7.23,4
2012,Апр,3.57,4
2011,Апр,9.61,4
2010,Апр,6.04,4
2009,Апр,13.16,4
2008,Апр,14.3,4
2007,Апр,7.6,4
2006,Апр,9.77,4
2005,Апр,13.77,4
2004,Апр,10.22,4
2003,Апр,14.62,4
2002,Апр,16.04,4
2001,Апр,24.77,4
2000,Апр,19.95,4
1999,Апр,113.06,4
1998,Апр,7.95,4
1997,Апр,15.34,4
1996,Апр,68.27,4
1995,Апр,219.68,4
1994,Апр,539.87,4
1993,Апр,674.49,4
1992,Апр,914.1,4
1991,Апр,,4
2023,Май,,5
2022,Май,17.11,5
2021,Май,6.01,5
2020,Май,3.03,5
2019,Май,5.13,5
2018,Май,2.42,5
2017,Май,4.09,5
2016,Май,7.3,5
2015,Май,15.78,5
2014,Май,7.59,5
2013,Май,7.38,5
2012,Май,3.61,5
2011,Май,9.59,5
2010,Май,5.97,5
2009,Май,12.28,5
2008,Май,15.12,5
2007,Май,7.76,5
2006,Май,9.42,5
2005,Май,13.84,5
2004,Май,10.15,5
2003,Май,13.62,5
2002,Май,15.94,5
2001,Май,24.81,5
2000,Май,19.4,5
1999,Май,116.71,5
1998,Май,7.48,5
1997,Май,14.59,5
1996,Май,58.4,5
1995,Май,222.73,5
1994,Май,479.24,5
1993,Май,717.4,5
1992,Май,1001.73,5
1991,Май,,5
2023,Июн,,6
2022,Июн,15.9,6
2021,Июн,6.51,6
2020,Июн,3.21,6
2019,Июн,4.66,6
2018,Июн,2.3,6
2017,Июн,4.35,6
2016,Июн,7.48,6
2015,Июн,15.29,6
2014,Июн,7.8,6
2013,Июн,6.88,6
2012,Июн,4.3,6
2011,Июн,9.42,6
2010,Июн,5.74,6
2009,Июн,11.87,6
2008,Июн,15.14,6
2007,Июн,8.48,6
2006,Июн,9.03,6
2005,Июн,13.68,6
2004,Июн,10.13,6
2003,Июн,13.93,6
2002,Июн,14.69,6
2001,Июн,23.68,6
2000,Июн,20.15,6
1999,Июн,120.67,6
1998,Июн,6.4,6
1997,Июн,14.51,6
1996,Июн,50.25,6
1995,Июн,224.73,6
1994,Июн,412.09,6
1993,Июн,722.89,6
1992,Июн,1196.6,6
1991,Июн,,6
2023,Июл,,7
2022,Июл,15.09,7
2021,Июл,6.47,7
2020,Июл,3.37,7
2019,Июл,4.59,7
2018,Июл,2.5,7
2017,Июл,3.86,7
2016,Июл,7.21,7
2015,Июл,15.64,7
2014,Июл,7.45,7
2013,Июл,6.45,7
2012,Июл,5.59,7
2011,Июл,9.01,7
2010,Июл,5.46,7
2009,Июл,12.01,7
2008,Июл,14.73,7
2007,Июл,8.7,7
2006,Июл,9.26,7
2005,Июл,13.16,7
2004,Июл,10.36,7
2003,Июл,13.91,7
2002,Июл,15.0,7
2001,Июл,22.05,7
2000,Июл,18.94,7
1999,Июл,126.51,7
1998,Июл,5.59,7
1997,Июл,14.75,7
1996,Июл,43.6,7
1995,Июл,224.89,7
1994,Июл,340.71,7
1993,Июл,810.61,7
1992,Июл,1325.49,7
1991,Июл,,7
2023,Авг,,8
2022,Авг,14.3,8
2021,Авг,6.69,8
2020,Авг,3.57,8
2019,Авг,4.33,8
2018,Авг,3.07,8
2017,Авг,3.29,8
2016,Авг,6.84,8
2015,Авг,15.77,8
2014,Авг,7.56,8
2013,Авг,6.49,8
2012,Авг,5.95,8
2011,Авг,8.16,8
2010,Авг,6.04,8
2009,Авг,11.6,8
2008,Авг,15.04,8
2007,Авг,8.59,8
2006,Авг,9.62,8
2005,Авг,12.53,8
2004,Авг,11.28,8
2003,Авг,13.35,8
2002,Авг,15.09,8
2001,Авг,20.88,8
2000,Авг,18.73,8
1999,Авг,121.03,8
1998,Авг,9.62,8
1997,Авг,14.83,8
1996,Авг,37.05,8
1995,Авг,224.7,8
1994,Авг,265.93,8
1993,Авг,956.51,8
1992,Авг,1440.38,8
1991,Авг,,8
2023,Сен,,9
2022,Сен,13.67,9
2021,Сен,7.41,9
2020,Сен,3.67,9
2019,Сен,3.99,9
2018,Сен,3.39,9
2017,Сен,2.96,9
2016,Сен,6.42,9
2015,Сен,15.68,9
2014,Сен,8.03,9
2013,Сен,6.13,9
2012,Сен,6.58,9
2011,Сен,7.21,9
2010,Сен,6.96,9
2009,Сен,10.69,9
2008,Сен,15.05,9
2007,Сен,9.35,9
2006,Сен,9.44,9
2005,Сен,12.33,9
2004,Сен,11.38,9
2003,Сен,13.28,9
2002,Сен,14.86,9
2001,Сен,20.02,9
2000,Сен,18.54,9
1999,Сен,62.03,9
1998,Сен,52.21,9
1997,Сен,14.11,9
1996,Сен,31.63,9
1995,Сен,214.18,9
1994,Сен,221.19,9
1993,Сен,1065.47,9
1992,Сен,1598.83,9
1991,Сен,,9
2023,Окт,,10
2022,Окт,12.63,10
2021,Окт,8.14,10
2020,Окт,3.98,10
2019,Окт,3.77,10
2018,Окт,3.55,10
2017,Окт,2.73,10
2016,Окт,6.09,10
2015,Окт,15.59,10
2014,Окт,8.3,10
2013,Окт,6.25,10
2012,Окт,6.55,10
2011,Окт,7.19,10
2010,Окт,7.5,10
2009,Окт,9.69,10
2008,Окт,14.23,10
2007,Окт,10.83,10
2006,Окт,9.15,10
2005,Окт,11.68,10
2004,Окт,11.53,10
2003,Окт,13.2,10
2002,Окт,14.84,10
2001,Окт,18.82,10
2000,Окт,19.41,10
1999,Окт,57.12,10
1998,Окт,58.85,10
1997,Окт,12.95,10
1996,Окт,27.21,10
1995,Окт,186.09,10
1994,Окт,209.09,10
1993,Окт,1033.23,10
1992,Окт,1917.26,10
1991,Окт,,10
2023,Ноя,,11
2022,Ноя,11.97,11
2021,Ноя,8.4,11
2020,Ноя,4.42,11
2019,Ноя,3.54,11
2018,Ноя,3.83,11
2017,Ноя,2.5,11
2016,Ноя,5.76,11
2015,Ноя,14.98,11
2014,Ноя,9.07,11
2013,Ноя,6.48,11
2012,Ноя,6.47,11
2011,Ноя,6.78,11
2010,Ноя,8.06,11
2009,Ноя,9.1,11
2008,Ноя,13.78,11
2007,Ноя,11.49,11
2006,Ноя,9.03,11
2005,Ноя,11.27,11
2004,Ноя,11.7,11
2003,Ноя,12.48,11
2002,Ноя,15.12,11
2001,Ноя,18.63,11
2000,Ноя,19.75,11
1999,Ноя,50.52,11
1998,Ноя,66.84,11
1997,Ноя,11.54,11
1996,Ноя,23.95,11
1995,Ноя,161.0,11
1994,Ноя,204.36,11
1993,Ноя,945.97,11
1992,Ноя,2235.88,11
1991,Ноя,,11
2023,Дек,,12
2022,Дек,11.92,12
2021,Дек,8.39,12
2020,Дек,4.91,12
2019,Дек,3.05,12
2018,Дек,4.27,12
2017,Дек,2.52,12
2016,Дек,5.38,12
2015,Дек,12.91,12
2014,Дек,11.36,12
2013,Дек,6.45,12
2012,Дек,6.58,12
2011,Дек,6.1,12
2010,Дек,8.78,12
2009,Дек,8.8,12
2008,Дек,13.28,12
2007,Дек,11.87,12
2006,Дек,9.0,12
2005,Дек,10.91,12
2004,Дек,11.74,12
2003,Дек,11.99,12
2002,Дек,15.06,12
2001,Дек,18.58,12
2000,Дек,20.2,12
1999,Дек,36.56,12
1998,Дек,84.44,12
1997,Дек,11.03,12
1996,Дек,21.81,12
1995,Дек,131.33,12
1994,Дек,215.02,12
1993,Дек,839.87,12
1992,Дек,2508.85,12
1991,Дек,160.4,12
